16:23:35.579],-9007,0,-16244
16:23:35.590],-9008,-1,-16245
16:23:35.601],-9008,2,-16248
16:23:35.612],-9009,3,-16251
16:23:35.623],-9008,3,-16250
16:23:35.634],-9009,-2,-16254
16:23:35.645],-9010,0,-16245
16:23:35.656],-9010,0,-16250
16:23:35.667],-9010,1,-16241
16:23:35.682],-9009,6,-16234
16:23:35.689],-9008,5,-16228
16:23:35.700],-9007,2,-16223
16:23:35.711],-9007,0,-16221
16:23:35.722],-9008,1,-16218
16:23:35.733],-9007,2,-16210
16:23:35.744],-9007,2,-16219
16:23:35.755],-9007,-5,-16223
16:23:35.766],-9007,-4,-16228
16:23:35.777],-9008,-4,-16230
16:23:35.788],-9007,-3,-16231
16:23:35.799],-9007,5,-16234
16:23:35.811],-9008,5,-16223
16:23:35.821],-9008,4,-16220
16:23:35.832],-9008,0,-16221
16:23:35.843],-9007,0,-16209
16:23:35.854],-9008,2,-16200
16:23:35.865],-9007,2,-16204
16:23:35.876],-9008,0,-16198
16:23:35.887],-9008,-1,-16200
16:23:35.898],-9008,-2,-16195
16:23:35.910],-9008,-1,-16205
16:23:35.920],-9006,4,-16207
16:23:35.931],-9006,3,-16204
16:23:35.943],-9005,5,-16210
16:23:35.953],-9006,3,-16206
16:23:35.976],-9005,4,-16197
16:23:35.980],-9005,6,-16193
16:23:35.988],-9004,6,-16191
16:23:35.997],-9006,2,-16184
16:23:36.008],-9007,0,-16178
16:23:36.023],-9006,-3,-16177
16:23:36.030],-9004,-3,-16177
16:23:36.041],-9005,2,-16177
16:23:36.066],-9004,4,-16183
16:23:36.071],-9005,5,-16195
16:23:36.078],-9006,0,-16189
16:23:36.085],-9007,1,-16187
16:23:36.096],-9010,2,-16180
16:23:36.107],-9010,3,-16180
16:23:36.118],-9009,5,-16177
16:23:36.129],-9008,5,-16170
16:23:36.140],-9009,3,-16160
16:23:36.151],-9009,1,-16169
16:23:36.162],-9008,4,-16159
16:23:36.173],-9007,6,-16159
16:23:36.184],-9005,4,-16168
16:23:36.195],-9007,0,-16167
16:23:36.206],-9005,2,-16170
16:23:36.218],-9005,5,-16166
16:23:36.228],-9003,6,-16170
16:23:36.239],-9002,5,-16167
16:23:36.250],-9003,6,-16153
16:23:36.261],-9003,1,-16147
16:23:36.272],-9005,4,-16146
16:23:36.283],-9004,3,-16142
16:23:36.295],-9002,6,-16146
16:23:36.305],-9001,5,-16146
16:23:36.316],-9004,0,-16150
16:23:36.327],-9003,0,-16154
16:23:36.338],-9006,0,-16144
16:23:36.349],-9005,1,-16147
16:23:36.360],-9005,2,-16154
16:23:36.371],-9003,2,-16153
16:23:36.382],-9002,1,-16142
16:23:36.393],-9004,5,-16145
16:23:36.404],-9004,4,-16139
16:23:36.415],-9005,7,-16138
16:23:36.426],-9005,6,-16129
16:23:36.437],-9005,2,-16133
16:23:36.448],-9004,1,-16130
16:23:36.459],-9008,0,-16130
16:23:36.470],-9007,-1,-16133
16:23:36.481],-9008,1,-16142
16:23:36.492],-9008,-1,-16143
16:23:36.503],-9007,-1,-16146
16:23:36.514],-9010,0,-16145
16:23:36.525],-9009,2,-16137
16:23:36.536],-9010,8,-16130
16:23:36.547],-9010,7,-16123
16:23:36.558],-9009,2,-16122
16:23:36.569],-9010,1,-16108
16:23:36.580],-9011,-5,-16102
16:23:36.597],-9009,-4,-16113
16:23:36.602],-9009,-3,-16115
16:23:36.613],-9008,-2,-16113
16:23:36.624],-9007,-1,-16123
16:23:36.635],-9004,-3,-16135
16:23:36.646],-9003,-1,-16124
16:23:36.657],-9004,3,-16128
16:23:36.668],-9004,5,-16124
16:23:36.679],-9003,5,-16123
16:23:36.690],-9004,4,-16109
16:23:36.701],-9005,-1,-16111
16:23:36.712],-9006,0,-16111
16:23:36.723],-9006,0,-16105
16:23:36.735],-9005,3,-16103
16:23:36.746],-9005,2,-16112
16:23:36.756],-9005,0,-16120
16:23:36.767],-9005,-1,-16122
16:23:36.778],-9007,1,-16128
16:23:36.791],-9006,3,-16134
16:23:36.800],-9007,8,-16126
16:23:36.811],-9007,8,-16130
16:23:36.822],-9009,3,-16122
16:23:36.833],-9012,3,-16116
16:23:36.847],-9012,2,-16108
16:23:36.855],-9012,7,-16111
16:23:36.866],-9010,6,-16106
16:23:36.877],-9008,4,-16110
16:23:36.888],-9005,3,-16114
16:23:36.899],-9007,4,-16120
16:23:36.910],-9006,2,-16123
16:23:36.921],-9007,4,-16119
16:23:36.932],-9007,3,-16119
16:23:36.943],-9007,4,-16114
16:23:36.957],-9010,4,-16114
16:23:36.965],-9010,3,-16105
16:23:36.977],-9007,4,-16105
16:23:36.987],-9007,3,-16100
16:23:36.998],-9008,0,-16100
16:23:37.009],-9006,-1,-16109
16:23:37.020],-9007,0,-16121
16:23:37.031],-9006,-1,-16119
16:23:37.042],-9006,0,-16122
16:23:37.064],-9005,-4,-16131
16:23:37.071],-9006,0,-16124
16:23:37.075],-9010,0,-16124
16:23:37.086],-9013,0,-16116
16:23:37.097],-9014,5,-16126
16:23:37.108],-9015,5,-16109
16:23:37.119],-9014,3,-16106
16:23:37.130],-9012,2,-16114
16:23:37.141],-9013,0,-16124
16:23:37.152],-9012,-3,-16120
16:23:37.163],-9011,-4,-16125
16:23:37.174],-9008,-6,-16134
16:23:37.185],-9008,-1,-16129
16:23:37.196],-9007,3,-16122
16:23:37.207],-9009,2,-16120
16:23:37.218],-9008,5,-16119
16:23:37.229],-9008,3,-16113
16:23:37.240],-9006,0,-16115
16:23:37.251],-9006,0,-16122
16:23:37.262],-9008,-1,-16123
16:23:37.273],-9007,-4,-16125
16:23:37.284],-9006,-3,-16128
16:23:37.295],-9006,-6,-16129
16:23:37.306],-9006,-5,-16128
16:23:37.317],-9008,4,-16125
16:23:37.328],-9008,5,-16126
16:23:37.339],-9007,7,-16119
16:23:37.354],-9008,5,-16126
16:23:37.361],-9010,0,-16122
16:23:37.372],-9013,0,-16128
16:23:37.383],-9011,0,-16126
16:23:37.394],-9013,0,-16131
16:23:37.405],-9011,0,-16128
16:23:37.416],-9012,-4,-16127
16:23:37.427],-9010,-3,-16132
16:23:37.438],-9011,2,-16135
16:23:37.449],-9010,4,-16128
16:23:37.460],-9011,6,-16129
16:23:37.471],-9010,7,-16125
16:23:37.482],-9014,3,-16122
16:23:37.493],-9016,4,-16119
16:23:37.504],-9015,3,-16114
16:23:37.515],-9016,-1,-16115
16:23:37.526],-9013,0,-16114
16:23:37.537],-9011,-1,-16122
16:23:37.548],-9008,0,-16129
16:23:37.559],-9006,3,-16129
16:23:37.570],-9004,6,-16119
16:23:37.581],-9003,5,-16125
16:23:37.594],-9005,5,-16120
16:23:37.603],-9005,4,-16119
16:23:37.614],-9008,0,-16125
16:23:37.625],-9010,0,-16124
16:23:37.636],-9010,-2,-16126
16:23:37.647],-9009,-1,-16127
16:23:37.658],-9009,0,-16135
16:23:37.669],-9008,1,-16139
16:23:37.680],-9010,5,-16138
16:23:37.691],-9009,6,-16144
16:23:37.702],-9011,4,-16138
16:23:37.713],-9015,4,-16135
16:23:37.724],-9016,1,-16138
16:23:37.735],-9017,-2,-16139
16:23:37.746],-9015,-2,-16139
