# Time [sec]	CtrlParams2.Idq_ref_A.value[1]	CtrlParams2.Idq_in_A.value[1]	CtrlParams2.Vdq_out_V.value[1]	CtrlParams2.VqErrInt	CtrlParams2.SpeedFed_Hz	gEscParams2.InPWMCtrl.CanReciWidthus
172.907	1300	-2.10882	-2.10882	-2.10882	-454.062	1300
172.922	1300	1300	1300	0.678836	0.678836	0.678836
172.938	-1.66794	-1.66794	-1.66794	-1.66794	-1.66794	1300
172.954	1300	1300	-1.72179	0.674015	-440.873	-440.873
172.969	-440.873	-440.873	-440.873	0.675565	0.675565	0.675565
172.985	0.675565	0.675565	0.675565	0.672061	-445.387	-445.387
173	-445.387	-445.387	-445.387	-445.387	-441.793	-441.793
173.016	-441.793	-441.793	-441.793	0.669907	0.669907	0.669907
173.032	-1.36018	-1.93596	-1.73487	-1.73487	-1.73487	-1.73487
173.047	-2.35972	-1.8615	-1.8615	-1.8615	-1.8615	-1.8615
173.063	-1.35404	-1.35404	-1.35404	-1.35404	-1.35404	-1.35404
173.079	-2.09536	-1.61652	-1.61652	-1.61652	-462.643	1300
173.094	-1.75536	-1.58561	-1.58561	-1.58561	-441.418	1300
173.11	1300	1300	-1.70014	-1.70014	-1.70014	1300
173.125	1300	-2.07826	-2.07826	0.677649	0.677649	0.677649
173.141	-1.86529	-1.86529	-1.86529	-1.86529	-1.86529	1300
173.157	1300	1300	1300	1300	1300	1300
173.172	-2.14073	-2.14073	-2.14073	-2.14073	-2.14073	-2.14073
173.188	-2.14073	-2.14073	-1.7143	0.671725	0.671725	1300
173.204	-1.50108	-2.08911	-2.08911	-2.08911	-461.873	-461.873
173.219	-461.873	-461.873	-1.69906	0.668927	0.668927	0.668927
173.235	0.668927	0.668927	0.668927	0.668927	-482.74	-482.74
173.25	-1.41248	-1.41248	-1.41248	-1.41248	-1.41248	-1.41248
173.266	-1.76388	-1.76388	-1.76388	-1.76388	-1.76388	1300
173.282	-1.64487	-1.64487	-1.64487	-1.64487	-1.64487	-1.64487
173.297	-2.38111	-2.38111	-1.68213	-1.68213	-468.258	1300
173.313	-1.60832	-2.06064	-2.06064	-2.06064	-442.668	1300
173.329	1300	1300	1300	1300	1300	1300
173.344	-1.47894	-1.47894	-1.47894	-1.47894	-1.47894	-1.47894
173.36	-2.29418	-2.29418	-1.69942	-1.69942	-1.69942	-1.69942
173.375	-1.92875	-1.69297	-1.69297	-1.69297	-1.69297	-1.69297
173.391	-1.69297	-1.69297	-1.69297	-1.69297	-467.32	1300
173.407	1300	-1.56299	-1.75045	0.677059	0.677059	0.677059
173.422	-2.20201	-2.20201	-1.70515	-1.70515	-1.70515	-1.70515
173.438	-1.70515	-1.64598	-1.64598	-1.64598	-480.489	-480.489
173.454	-480.489	-480.489	-480.489	0.681934	0.681934	0.681934
173.469	-1.28356	-1.7826	-1.7826	-1.7826	-446.877	-446.877
173.485	-446.877	-446.877	-446.877	0.671371	0.671371	0.671371
173.5	-1.52829	-1.52829	-1.52829	-1.52829	-1.52829	-1.52829
173.516	-1.52829	-1.52829	-1.52829	-1.52829	-1.52829	-1.52829
173.532	-1.52829	-2.20629	-2.20629	0.670932	-490.533	-490.533
173.547	-1.3703	-1.3703	-1.3703	-1.3703	-1.3703	-1.3703
173.563	-2.09822	-1.63553	-1.63553	0.666413	0.666413	0.666413
173.579	0.666413	0.666413	-1.74827	0.673542	0.673542	0.673542
173.594	0.673542	0.673542	0.673542	0.673542	-466.29	1300
173.61	1300	1300	1300	1300	1300	1300
173.625	1300	1300	1300	1300	-448.8	-448.8
173.641	-448.8	-448.8	-448.8	-448.8	-481.413	-5.72667e+020
173.657	-481.413	-481.413	-1.73329	-1.73329	-1.73329	-1.73329
173.672	-1.73329	-1.73329	-1.74301	0.676746	-474.629	1300
173.688	1300	1300	-1.71721	-1.71721	-1.71721	-1.71721
173.704	-1.71721	-1.63563	-1.63563	-1.63563	-1.63563	-1.63563
173.719	-1.63563	-1.63563	-1.63563	-1.63563	-1.63563	1300
173.735	1300	1300	1300	1300	1300	1300
173.75	1300	1300	1300	0.664234	0.664234	0.664234
173.766	-2.41874	-1.75677	-1.75677	0.662326	0.662326	0.662326
173.782	0.662326	0.662326	0.662326	0.67081	-488.927	-488.927
173.797	-488.927	-488.927	-488.927	-488.927	-488.927	1300
173.813	1300	-1.51019	-1.75457	-1.75457	-1.75457	-1.75457
173.829	-1.75457	-1.75457	-1.75457	-1.75457	-454.763	1300
173.844	1300	1300	-1.72458	-1.72458	-1.72458	-1.72458
173.86	-1.50977	-1.50977	-1.74112	-1.74112	-442.067	1300
173.875	-1.72609	-2.13861	-2.13861	-2.13861	-487.166	1300
173.891	1300	-1.6809	-1.69686	0.667898	0.667898	0.667898
173.907	0.667898	0.667898	-1.70104	-1.70104	-1.70104	1300
173.922	1300	-1.56964	-1.56964	-1.56964	-468.85	-468.85
173.938	-1.79203	-1.79203	-1.73923	-1.73923	-1.73923	-1.73923
173.954	-1.73923	-1.66129	-1.66129	0.673325	0.673325	1300
173.969	-1.36066	-1.36066	-1.36066	0.677533	0.677533	1300
173.985	1300	1300	-1.71792	0.668256	0.668256	0.668256
174	-2.06303	-2.06303	-2.06303	0.66804	-483.72	-483.72
174.016	-483.72	-1.57071	-1.75585	-1.75585	-1.75585	-1.75585
174.032	-1.19471	-1.87483	-1.87483	-1.87483	-1.87483	1300
174.047	-1.91051	-1.58504	-1.58504	-1.58504	-452.974	1300
174.063	0	0	0	0	-488.971	-488.971
174.079	-1.2567	-1.2567	-1.74968	0.676964	-454.26	-454.26
174.094	-1.27137	-1.27137	-1.7376	0.678261	-485.174	-485.174
174.11	-1.59707	-1.55989	-1.55989	-1.55989	-1.55989	1300
174.125	1300	1300	1300	0.671651	0.671651	0.671651
174.141	-2.01445	-2.22328	-2.22328	-2.22328	-2.22328	-2.22328
174.157	-1.37189	-1.37189	-1.75354	0.676568	0.676568	0.676568
174.172	0.676568	-1.61581	-1.70996	-1.70996	-451.284	-451.284
174.188	-451.284	-451.284	-451.284	-451.284	-451.284	1300
174.204	1300	1300	-1.72075	-1.72075	-486.274	-486.274
174.219	-1.33233	-1.88413	-1.88413	-1.88413	-1.88413	-1.88413
174.235	-2.3439	-2.3439	-2.3439	0.670771	0.670771	1300
174.25	1300	1300	1300	1300	1300	1300
174.266	-1.3934	-1.99533	-1.99533	-1.99533	-1.99533	-1.99533
174.282	-1.99533	-1.99533	-1.99533	-1.99533	-1.99533	1300
174.297	1300	1300	1300	0.665474	-446.479	-446.479
174.313	-2.15421	-2.15421	-1.68961	-1.68961	-1.68961	1300
174.329	1300	1300	-1.72806	-1.72806	-485.178	-485.178
174.344	-485.178	-485.178	-1.72647	-1.72647	-486.881	-486.881
174.36	-486.881	-486.881	-486.881	0.67237	0.67237	0.67237
174.375	0.67237	0.67237	0.67237	0.67237	0.67237	0.67237
174.391	-2.12192	-2.12192	-2.12192	-2.12192	-457.482	1300
174.407	-1.95181	-1.95181	-1.70833	-1.70833	-483.599	-483.599
174.422	-1.39066	-1.39066	-1.39066	-1.39066	-1.39066	-1.39066
174.438	-2.1737	-2.1737	-2.1737	-2.1737	-2.1737	-2.1737
174.454	-2.1737	-1.99613	-1.69456	0.664547	0.664547	1300
174.469	1300	-1.62361	-1.69216	-1.69216	-1.69216	-1.69216
174.485	-1.69216	-1.69216	-1.69216	-1.69216	-1.69216	-1.69216
174.5	-1.69216	-1.90749	-1.7554	0.681187	0.681187	0.681187
174.516	-2.37518	-1.5573	-1.5573	0.669197	-455.019	-455.019
