15:36:06.440],-8993,22,17309
15:36:06.451],-8996,20,17314
15:36:06.465],-8995,20,17301
15:36:06.473],-8996,20,17310
15:36:06.484],-8998,19,17302
15:36:06.495],-8998,19,17305
15:36:06.506],-8999,23,17299
15:36:06.517],-8998,20,17309
15:36:06.528],-8994,25,17296
15:36:06.539],-8994,18,17311
15:36:06.550],-8992,22,17299
15:36:06.561],-8993,17,17301
15:36:06.572],-8993,17,17305
15:36:06.583],-8992,22,17299
15:36:06.594],-8995,18,17307
15:36:06.605],-8993,24,17313
15:36:06.616],-8993,23,17301
15:36:06.627],-8988,26,17304
15:36:06.638],-8987,23,17299
15:36:06.649],-8991,19,17313
15:36:06.660],-8992,18,17302
15:36:06.671],-8992,21,17303
15:36:06.682],-8996,19,17309
15:36:06.693],-8996,24,17304
15:36:06.704],-8999,22,17305
15:36:06.715],-8999,21,17303
15:36:06.726],-8999,21,17309
15:36:06.737],-8997,17,17303
15:36:06.748],-8993,19,17301
15:36:06.759],-8993,15,17301
15:36:06.770],-8992,18,17297
15:36:06.781],-8992,16,17296
15:36:06.793],-8993,17,17289
15:36:06.803],-8994,16,17293
15:36:06.814],-8999,12,17296
15:36:06.825],-9005,15,17294
15:36:06.836],-9006,15,17297
15:36:06.847],-9002,13,17298
15:36:06.858],-8999,14,17293
15:36:06.869],-8994,12,17284
15:36:06.880],-8990,9,17288
15:36:06.891],-8994,10,17283
15:36:06.902],-8996,8,17272
15:36:06.913],-8996,5,17282
15:36:06.924],-9000,4,17286
15:36:06.935],-9000,6,17278
15:36:06.946],-9001,6,17286
15:36:06.957],-9002,5,17281
15:36:06.968],-8997,2,17284
15:36:06.979],-8997,2,17272
15:36:06.990],-9000,1,17273
15:36:07.001],-9000,3,17270
15:36:07.012],-9004,0,17274
15:36:07.023],-9006,3,17262
15:36:07.034],-9008,3,17267
15:36:07.045],-9012,1,17270
15:36:07.056],-9012,5,17254
15:36:07.067],-9013,0,17260
15:36:07.078],-9012,0,17265
15:36:07.089],-9011,1,17265
15:36:07.100],-9010,3,17256
15:36:07.111],-9010,3,17263
15:36:07.122],-9005,3,17262
15:36:07.133],-9003,7,17254
15:36:07.144],-9000,7,17265
15:36:07.155],-8999,10,17249
15:36:07.166],-9000,11,17261
15:36:07.177],-9003,13,17243
15:36:07.188],-9004,16,17245
15:36:07.199],-9006,15,17243
15:36:07.210],-8998,21,17243
15:36:07.221],-8998,19,17234
15:36:07.232],-8988,22,17244
15:36:07.243],-8981,24,17261
15:36:07.254],-8976,26,17235
15:36:07.265],-8960,28,17249
15:36:07.276],-8963,24,17253
15:36:07.287],-8963,28,17240
15:36:07.298],-8969,22,17242
15:36:07.309],-8975,28,17246
15:36:07.320],-8984,24,17244
15:36:07.331],-8975,27,17248
15:36:07.342],-8979,25,17254
15:36:07.353],-8974,26,17250
15:36:07.364],-8965,27,17269
15:36:07.375],-8966,24,17265
15:36:07.386],-8960,24,17261
15:36:07.397],-8963,19,17268
15:36:07.408],-8970,20,17253
15:36:07.419],-8979,18,17248
15:36:07.430],-8984,18,17263
15:36:07.441],-8990,19,17254
15:36:07.452],-8989,15,17263
15:36:07.463],-8988,16,17274
15:36:07.474],-8986,13,17282
15:36:07.485],-8979,13,17266
15:36:07.496],-8978,9,17268
15:36:07.507],-8977,4,17272
15:36:07.518],-8981,4,17266
15:36:07.529],-8985,0,17273
15:36:07.540],-8988,3,17273
15:36:07.551],-8988,-2,17280
15:36:07.562],-8986,0,17279
15:36:07.573],-8982,-1,17289
15:36:07.584],-8977,-6,17278
15:36:07.595],-8977,-6,17282
