00:00:08:458],0,0,0,0,0,0,0,0,0,0,28,1,22,0,0,-2
00:00:08:462],0,0,0,0,0,0,0,0,0,0,-20,-1,17,0,0,-2
00:00:08:557],0,0,0,0,0,0,0,0,0,0,-11,6,44,0,-1,-2
00:00:08:664],0,0,0,0,0,0,0,0,0,0,-15,-2,18,0,0,-2
00:00:08:864],0,0,0,0,0,0,0,0,0,0,-24,-1,40,2,0,-4
00:00:09:303],0,0,0,0,0,0,0,0,0,0,-10,3,-5,1,0,0
00:00:09:644],0,0,0,0,0,0,0,0,0,0,-11,-3,0,2,0,-1
00:00:09:658],0,0,0,0,0,0,0,0,0,0,-35,0,27,4,0,-1
00:00:09:664],0,0,0,0,0,0,0,0,0,0,-24,-2,47,2,0,0
00:00:10:000],0,0,0,0,0,0,0,0,0,0,-17,-1,20,0,0,-1
00:00:10:063],0,0,0,0,0,0,0,0,0,0,17,0,15,0,0,0
00:00:10:264],0,0,0,0,0,0,0,0,0,0,-7,-3,36,0,0,-1
00:00:10:464],0,0,0,0,0,0,0,0,0,0,-4,2,19,0,0,-2
00:00:10:664],0,0,0,0,0,0,0,0,0,0,0,7,44,2,0,-2
00:00:10:864],0,0,0,0,0,0,0,0,0,0,-2,3,31,2,0,-3
00:00:11:063],0,0,0,0,0,0,0,0,0,0,-40,0,10,2,0,-1
00:00:11:263],0,0,0,0,0,0,0,0,0,0,4,0,17,1,0,0
00:00:11:464],0,0,0,0,0,0,0,0,0,0,-37,0,5,0,-1,-2
00:00:11:664],0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,-2
00:00:11:863],0,0,0,0,0,0,0,0,0,0,10,0,41,0,0,-4
00:00:12:063],0,0,0,0,0,0,0,0,0,0,-25,0,-2,0,0,-1
00:00:12:263],0,0,0,0,0,0,0,0,0,0,-1,1,4,0,0,-2
00:00:12:463],0,0,0,0,0,0,0,0,0,0,-39,0,46,3,0,-4
00:00:12:664],0,0,0,0,0,0,0,0,0,0,-2,-4,20,2,0,-4
00:00:12:864],0,0,0,0,0,0,0,0,0,0,-1,0,24,2,0,-2
00:00:13:063],0,0,0,0,0,0,0,0,0,0,8,3,45,1,0,-2
00:00:13:263],0,0,0,0,0,0,0,0,0,0,-57,-3,24,2,0,-4
00:00:13:464],0,0,0,0,0,0,0,0,0,0,-27,1,53,1,0,-2
00:00:13:663],0,0,0,0,0,0,0,0,0,0,-24,0,12,1,0,-4
00:00:13:863],0,0,0,0,0,0,0,0,0,0,-3,2,31,2,0,-2
00:00:14:063],0,0,0,0,0,0,0,0,0,0,-3,3,19,2,0,-2
00:00:14:263],0,0,0,0,0,0,0,0,0,0,-26,0,5,2,0,0
00:00:14:463],0,0,0,0,0,0,0,0,0,0,-2,-6,15,0,0,-2
00:00:14:663],0,0,0,0,0,0,0,0,0,0,-34,-1,-3,2,0,-3
00:00:14:864],0,0,0,0,0,0,0,0,0,0,-37,1,50,0,0,-2
00:00:15:064],0,0,0,0,0,0,0,0,0,0,-25,-1,23,0,0,-4
00:00:15:263],0,0,0,0,0,0,0,0,0,0,7,3,34,0,0,-1
00:00:15:663],0,0,0,0,0,0,0,0,0,0,-25,0,17,0,0,-2
00:00:15:864],0,0,0,0,0,0,0,0,0,0,-53,0,1,0,0,0
00:00:16:063],0,0,0,0,0,0,0,0,0,0,-22,3,31,1,0,-2
00:00:16:264],0,0,0,0,0,0,0,0,0,0,-17,-2,3,1,0,0
00:00:16:464],0,0,0,0,0,0,0,0,0,0,-13,1,33,0,-1,-2
00:00:16:664],0,0,0,0,0,0,0,0,0,0,-24,-1,43,2,0,0
00:00:16:864],0,0,0,0,0,0,0,0,0,0,-9,3,39,0,0,-1
00:00:17:064],0,0,0,0,0,0,0,0,0,0,-40,8,9,2,0,-2
00:00:17:263],0,0,0,0,0,0,0,0,0,0,4,-2,31,1,0,0
00:00:17:464],0,0,0,0,0,0,0,0,0,0,-18,0,25,2,0,0
00:00:17:664],0,0,0,0,0,0,0,0,0,0,-21,4,13,0,0,-2
00:00:17:863],0,0,0,0,0,0,0,0,0,0,-3,1,21,2,0,-4
00:00:18:063],0,0,0,0,0,0,0,0,0,0,-59,0,54,2,-1,-1
00:00:18:263],0,0,0,0,0,0,0,0,0,0,-14,-2,36,1,0,-2
00:00:18:463],0,0,0,0,0,0,0,0,0,0,-6,0,20,1,0,-1
00:00:18:663],0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
00:00:18:864],0,0,0,0,0,0,0,0,0,0,-3,3,43,0,0,-4
00:00:19:064],0,0,0,0,0,0,0,0,0,0,0,2,43,1,0,-1
00:00:19:263],0,0,0,0,0,0,0,0,0,0,24,-4,13,1,0,-3
00:00:19:463],0,0,0,0,0,0,0,0,0,0,-30,-4,17,0,0,-4
00:00:19:663],0,0,0,0,0,0,0,0,0,0,-7,-2,5,3,0,-1
00:00:19:863],0,0,0,0,0,0,0,0,0,0,-5,1,15,0,0,0
00:00:20:157],0,0,0,0,0,0,0,0,0,0,7,0,7,1,0,-3
00:00:21:727],0,0,0,0,0,0,0,0,0,0,70,-528,-25,-42,289,-7
00:00:21:927],0,0,0,0,0,0,0,0,0,0,91,-773,65,-21,133,-15
00:00:22:127],0,0,0,0,0,0,0,0,0,0,55,-276,87,-5,28,-7
00:00:22:327],0,0,0,0,0,0,0,0,0,0,-6,2,32,0,1,0
00:00:22:526],0,0,0,0,0,0,0,0,0,0,5,0,24,0,0,-4
