16:05:08.219],-8996,3,-13690
16:05:08.230],-8998,1,-13689
16:05:08.241],-8997,1,-13696
16:05:08.251],-9000,-2,-13699
16:05:08.263],-9002,-3,-13715
16:05:08.274],-9004,2,-13717
16:05:08.285],-9004,2,-13717
16:05:08.296],-9003,6,-13720
16:05:08.307],-9004,5,-13728
16:05:08.318],-9004,4,-13716
16:05:08.329],-9003,7,-13714
16:05:08.340],-9000,8,-13709
16:05:08.351],-8997,9,-13712
16:05:08.362],-8997,8,-13704
16:05:08.373],-8998,2,-13708
16:05:08.384],-8997,2,-13709
16:05:08.394],-8998,3,-13716
16:05:08.405],-9000,4,-13714
16:05:08.417],-9002,7,-13728
16:05:08.428],-9005,0,-13735
16:05:08.439],-9008,0,-13735
16:05:08.450],-9011,0,-13737
16:05:08.461],-9012,1,-13735
16:05:08.471],-9010,5,-13735
16:05:08.483],-9008,5,-13727
16:05:08.494],-9005,2,-13723
16:05:08.504],-9002,1,-13720
16:05:08.516],-8999,0,-13720
16:05:08.531],-8999,3,-13716
16:05:08.538],-9000,0,-13728
16:05:08.549],-9000,-4,-13727
16:05:08.560],-9002,-3,-13729
16:05:08.570],-9004,-5,-13738
16:05:08.581],-9004,-4,-13744
16:05:08.592],-9004,0,-13746
16:05:08.604],-9005,0,-13753
16:05:08.614],-9007,2,-13747
16:05:08.625],-9005,3,-13744
16:05:08.637],-9005,0,-13740
16:05:08.647],-9006,1,-13733
16:05:08.659],-9004,0,-13738
16:05:08.669],-9000,3,-13737
16:05:08.680],-8999,3,-13734
16:05:08.692],-9000,0,-13731
16:05:08.702],-9000,0,-13737
16:05:08.714],-9002,-2,-13740
16:05:08.724],-9004,-2,-13735
16:05:08.735],-9003,0,-13739
16:05:08.746],-9002,0,-13751
16:05:08.758],-9003,0,-13750
16:05:08.769],-9005,-1,-13759
16:05:08.780],-9006,-1,-13764
16:05:08.790],-9007,5,-13765
16:05:08.801],-9007,6,-13757
16:05:08.812],-9003,7,-13751
16:05:08.824],-9002,7,-13745
16:05:08.834],-9004,0,-13736
16:05:08.845],-9002,-1,-13734
16:05:08.857],-9000,2,-13728
16:05:08.867],-8997,9,-13734
16:05:08.878],-8998,9,-13736
16:05:08.890],-8998,4,-13746
16:05:08.900],-8998,3,-13753
16:05:08.911],-9004,2,-13755
16:05:08.922],-9006,3,-13756
16:05:08.934],-9004,8,-13766
16:05:08.944],-9006,8,-13763
16:05:08.955],-9006,8,-13763
16:05:08.966],-9008,7,-13757
16:05:08.977],-9005,7,-13756
16:05:08.989],-9003,10,-13748
16:05:08.999],-9001,8,-13748
16:05:09.010],-9001,2,-13749
16:05:09.023],-9002,1,-13752
16:05:09.033],-9003,-2,-13751
16:05:09.044],-9004,-2,-13763
16:05:09.054],-9006,3,-13770
16:05:09.065],-9012,3,-13773
16:05:09.076],-9011,2,-13782
16:05:09.087],-9017,-6,-13792
16:05:09.098],-9019,-5,-13785
16:05:09.109],-9020,0,-13788
16:05:09.120],-9018,1,-13778
16:05:09.131],-9014,6,-13783
16:05:09.142],-9014,5,-13769
16:05:09.154],-9009,3,-13770
16:05:09.164],-9005,2,-13766
16:05:09.175],-9004,0,-13770
16:05:09.186],-9002,1,-13772
16:05:09.197],-9001,0,-13774
16:05:09.208],-9000,-4,-13784
16:05:09.220],-9000,-4,-13787
16:05:09.230],-9001,-2,-13787
16:05:09.241],-9001,0,-13795
16:05:09.252],-9002,4,-13803
16:05:09.263],-9004,4,-13801
16:05:09.275],-9005,1,-13795
16:05:09.285],-9008,1,-13792
16:05:09.296],-9007,-1,-13788
16:05:09.307],-9005,8,-13775
16:05:09.318],-9004,6,-13776
16:05:09.329],-9004,11,-13780
16:05:09.340],-9001,10,-13782
16:05:09.355],-9001,4,-13779
16:05:09.362],-8998,3,-13789
16:05:09.374],-9001,1,-13799
16:05:09.384],-9000,1,-13806
16:05:09.395],-9001,3,-13812
16:05:09.406],-9002,2,-13823
16:05:09.417],-9004,2,-13820
16:05:09.428],-9009,1,-13818
16:05:09.439],-9010,3,-13822
16:05:09.450],-9013,5,-13826
16:05:09.461],-9012,5,-13823
16:05:09.472],-9010,7,-13815
16:05:09.484],-9007,8,-13812
16:05:09.494],-9007,3,-13809
16:05:09.505],-9003,2,-13802
16:05:09.517],-9007,0,-13804
16:05:09.527],-9006,4,-13806
16:05:09.538],-9003,4,-13808
16:05:09.550],-9000,0,-13808
16:05:09.560],-9002,0,-13818
16:05:09.571],-9006,-4,-13823
16:05:09.583],-9007,-4,-13834
16:05:09.594],-9008,-1,-13840
16:05:09.604],-9011,-1,-13841
16:05:09.615],-9008,0,-13845
16:05:09.626],-9008,0,-13845
16:05:09.637],-9007,1,-13843
16:05:09.648],-9006,4,-13840
16:05:09.660],-9003,3,-13837
16:05:09.670],-9000,3,-13837
16:05:09.681],-8998,2,-13834
16:05:09.692],-8997,-2,-13840
16:05:09.704],-8998,-5,-13850
16:05:09.714],-8999,1,-13869
16:05:09.725],-8999,1,-13864
16:05:09.736],-9000,6,-13872
16:05:09.747],-9005,1,-13881
16:05:09.758],-9009,2,-13888
16:05:09.769],-9013,3,-13877
16:05:09.780],-9012,3,-13879
16:05:09.791],-9008,3,-13877
16:05:09.802],-9007,4,-13871
16:05:09.814],-9004,0,-13870
16:05:09.825],-9002,-2,-13879
16:05:09.835],-9002,-2,-13886
16:05:09.846],-9002,-4,-13890
16:05:09.858],-9006,0,-13897
16:05:09.868],-9009,-3,-13900
16:05:09.880],-9011,-1,-13898
16:05:09.890],-9011,0,-13903
16:05:09.901],-9011,-1,-13893
16:05:09.912],-9005,-4,-13895
16:05:09.924],-9003,-4,-13897
16:05:09.934],-9002,-4,-13900
16:05:09.945],-9001,-7,-13910
16:05:09.956],-9003,-7,-13912
16:05:09.967],-9006,-9,-13919
16:05:09.978],-9008,-6,-13918
16:05:09.989],-9011,-2,-13916
16:05:10.000],-9010,-1,-13912
16:05:10.011],-9006,-1,-13915
16:05:10.023],-9005,-1,-13914
16:05:10.034],-9003,-5,-13914
16:05:10.044],-9001,-5,-13923
16:05:10.056],-9002,-7,-13927
16:05:10.066],-9002,-11,-13928
16:05:10.077],-9003,-8,-13935
16:05:10.088],-9008,-5,-13934
16:05:10.099],-9008,-3,-13939
16:05:10.110],-9010,1,-13926
16:05:10.122],-9009,1,-13930
16:05:10.132],-9008,-1,-13917
16:05:10.144],-9004,-1,-13919
16:05:10.154],-9005,-6,-13917
16:05:10.165],-9004,-7,-13926
16:05:10.176],-9002,-8,-13937
16:05:10.187],-9000,-9,-13942
16:05:10.198],-9001,-5,-13950
16:05:10.209],-9003,1,-13945
16:05:10.220],-9003,1,-13951
16:05:10.231],-9001,2,-13951
16:05:10.242],-9002,0,-13945
16:05:10.254],-9000,-5,-13938
16:05:10.264],-8997,-4,-13942
16:05:10.275],-8994,-1,-13950
16:05:10.286],-8992,-1,-13952
16:05:10.297],-8995,-1,-13965
16:05:10.308],-8998,-4,-13971
16:05:10.320],-9000,-1,-13970
16:05:10.330],-9004,3,-13974
16:05:10.341],-9006,3,-13974
16:05:10.354],-9003,3,-13977
16:05:10.364],-9002,3,-13972
16:05:10.374],-9000,1,-13974
16:05:10.386],-8997,0,-13969
16:05:10.396],-8996,1,-13981
16:05:10.407],-8997,0,-13983
16:05:10.419],-8998,-2,-13987
16:05:10.429],-9006,-3,-13990
16:05:10.440],-9009,0,-13988
16:05:10.452],-9013,2,-13991
16:05:10.462],-9012,2,-13991
16:05:10.474],-9012,3,-13982
16:05:10.485],-9009,3,-13979
16:05:10.495],-9009,5,-13976
16:05:10.506],-9007,5,-13971
16:05:10.518],-9003,1,-13980
16:05:10.528],-9001,-3,-13980
16:05:10.539],-9004,-2,-13983
16:05:10.550],-9008,-1,-13988
16:05:10.561],-9009,0,-13992
16:05:10.572],-9010,7,-13993
16:05:10.584],-9012,7,-13986
16:05:10.594],-9010,6,-13987
16:05:10.605],-9007,3,-13990
16:05:10.617],-9008,3,-13976
16:05:10.627],-9006,2,-13977
16:05:10.638],-9001,0,-13982
16:05:10.650],-8998,-4,-13987
16:05:10.660],-9000,-4,-13984
16:05:10.671],-9004,0,-13988
16:05:10.682],-9006,3,-13987
16:05:10.694],-9005,7,-13974
16:05:10.704],-9005,7,-13963
16:05:10.715],-9004,3,-13970
16:05:10.726],-9002,4,-13958
16:05:10.738],-9001,2,-13954
16:05:10.749],-8994,1,-13954
16:05:10.760],-8992,1,-13960
16:05:10.770],-8993,0,-13959
16:05:10.781],-8997,0,-13968
16:05:10.792],-8999,4,-13977
16:05:10.804],-9002,5,-13972
16:05:10.814],-9001,7,-13971
16:05:10.825],-9003,7,-13971
16:05:10.836],-9002,8,-13972
16:05:10.847],-9002,7,-13968
16:05:10.859],-9002,3,-13968
16:05:10.869],-9000,-3,-13972
16:05:10.880],-9000,-1,-13974
16:05:10.891],-9003,-2,-13977
16:05:10.902],-9005,1,-13982
16:05:10.914],-9007,6,-13990
16:05:10.924],-9008,7,-13985
16:05:10.935],-9007,1,-13973
16:05:10.946],-9014,0,-13967
16:05:10.957],-9013,0,-13969
16:05:10.968],-9011,-2,-13966
16:05:10.979],-9008,-3,-13967
16:05:10.990],-9005,-8,-13972
16:05:11.001],-9004,-8,-13973
16:05:11.012],-9004,-1,-13979
16:05:11.024],-9007,14,-13977
16:05:11.034],-9000,-1,-13974
16:05:11.045],-9001,4,-13982
16:05:11.057],-9002,2,-13973
16:05:11.067],-9002,3,-13968
16:05:11.079],-9000,3,-13965
16:05:11.090],-8997,4,-13963
16:05:11.101],-8991,-8,-13959
16:05:11.112],-8987,1,-13968
16:05:11.123],-8998,-4,-13967
16:05:11.134],-9000,-1,-13983
16:05:11.145],-8999,1,-13978
16:05:11.156],-8998,3,-13981
16:05:11.167],-8998,4,-13979
16:05:11.178],-8998,5,-13979
16:05:11.189],-8997,7,-13974
16:05:11.199],-8998,1,-13975
16:05:11.210],-8997,-5,-13979
16:05:11.221],-8998,-2,-13981
16:05:11.232],-9000,-3,-13986
16:05:11.245],-9000,-3,-13991
16:05:11.255],-9000,0,-14007
16:05:11.265],-9007,0,-14005
16:05:11.276],-9005,0,-13993
16:05:11.288],-9008,1,-13992
16:05:11.298],-9008,1,-13993
16:05:11.309],-9006,1,-13988
16:05:11.320],-9003,0,-13987
16:05:11.331],-9001,-5,-13988
16:05:11.342],-8998,-8,-13990
16:05:11.354],-8998,-5,-13991
16:05:11.364],-8997,-1,-13997
16:05:11.375],-8997,-2,-14002
16:05:11.387],-8998,-2,-13997
16:05:11.398],-8999,-1,-13996
16:05:11.408],-8999,4,-13990
16:05:11.420],-9000,4,-13987
16:05:11.430],-8997,2,-13983
16:05:11.441],-8994,-1,-13993
16:05:11.452],-8994,-5,-14000
16:05:11.463],-8997,-5,-14004
16:05:11.474],-8999,0,-14007
16:05:11.485],-8998,0,-14019
16:05:11.497],-8997,3,-14012
16:05:11.508],-8999,3,-14013
16:05:11.519],-8999,3,-14007
16:05:11.530],-9000,4,-14006
16:05:11.540],-9002,0,-13995
16:05:11.552],-9001,-5,-13999
16:05:11.563],-8999,-4,-14001
16:05:11.574],-8999,-5,-14010
16:05:11.585],-8999,-5,-14010
16:05:11.598],-8999,-4,-14016
16:05:11.606],-9000,-6,-14012
16:05:11.618],-9001,-4,-14011
16:05:11.629],-9004,1,-14006
16:05:11.639],-9003,3,-14004
16:05:11.651],-8998,2,-13994
16:05:11.662],-8997,1,-13994
16:05:11.672],-8997,-4,-13992
16:05:11.684],-8997,-3,-13993
16:05:11.694],-8995,-2,-14003
