17:49:32.682],-9003,4,-4944
17:49:32.693],-9002,3,-4950
17:49:32.704],-9002,5,-4950
17:49:32.715],-9002,2,-4941
17:49:32.726],-9001,1,-4938
17:49:32.737],-9002,2,-4943
17:49:32.748],-9001,3,-4956
17:49:32.759],-9002,1,-4951
17:49:32.770],-9001,0,-4941
17:49:32.781],-8999,1,-4945
17:49:32.792],-9001,0,-4946
17:49:32.803],-8999,0,-4944
17:49:32.814],-9000,2,-4947
17:49:32.825],-8999,1,-4957
17:49:32.836],-8998,2,-4959
17:49:32.847],-8997,3,-4945
17:49:32.858],-8997,3,-4940
17:49:32.869],-8999,2,-4948
17:49:32.880],-8998,3,-4945
17:49:32.891],-8998,1,-4946
17:49:32.902],-8998,0,-4947
17:49:32.913],-8997,0,-4945
17:49:32.924],-8997,0,-4942
17:49:32.935],-8998,-1,-4942
17:49:32.946],-8998,-2,-4943
17:49:32.957],-8997,0,-4944
17:49:32.968],-8999,-1,-4946
17:49:32.979],-8998,-1,-4950
17:49:32.990],-8999,0,-4942
17:49:33.002],-8998,0,-4937
17:49:33.012],-8998,-2,-4939
17:49:33.023],-9000,-4,-4939
17:49:33.034],-8998,-1,-4934
17:49:33.045],-8998,-2,-4926
17:49:33.057],-8999,-4,-4922
17:49:33.067],-9000,-6,-4930
17:49:33.078],-8999,-2,-4923
17:49:33.089],-8999,-1,-4918
17:49:33.100],-9000,-2,-4926
17:49:33.111],-9000,-2,-4934
17:49:33.123],-9000,1,-4921
17:49:33.133],-9001,0,-4905
17:49:33.144],-9001,0,-4916
17:49:33.155],-9001,0,-4926
17:49:33.166],-9000,3,-4910
17:49:33.177],-9001,2,-4897
17:49:33.188],-9001,4,-4895
17:49:33.199],-9001,2,-4898
17:49:33.210],-9002,3,-4906
17:49:33.221],-9000,6,-4903
17:49:33.232],-9002,4,-4882
17:49:33.243],-8999,2,-4883
17:49:33.254],-9001,2,-4886
17:49:33.265],-9002,0,-4885
17:49:33.276],-9000,1,-4886
17:49:33.287],-9000,0,-4874
17:49:33.298],-9000,0,-4868
17:49:33.309],-8997,-2,-4866
17:49:33.320],-8998,-3,-4862
17:49:33.331],-8997,-4,-4870
17:49:33.342],-8998,-7,-4879
17:49:33.353],-8996,-5,-4879
17:49:33.364],-8997,-7,-4860
17:49:33.375],-8996,-6,-4848
17:49:33.386],-8997,-11,-4856
17:49:33.397],-8998,-9,-4869
17:49:33.408],-8995,-9,-4868
17:49:33.419],-8997,-6,-4857
17:49:33.430],-8996,-8,-4858
17:49:33.441],-8993,-10,-4862
17:49:33.452],-8994,-10,-4855
17:49:33.463],-8993,-7,-4849
17:49:33.474],-8996,-5,-4835
17:49:33.485],-8993,-6,-4830
17:49:33.496],-8996,-7,-4842
17:49:33.507],-8995,-7,-4842
17:49:33.518],-8993,-4,-4842
17:49:33.529],-8995,-2,-4833
17:49:33.540],-8994,-3,-4816
17:49:33.551],-8992,-1,-4818
17:49:33.562],-8994,1,-4820
17:49:33.573],-8994,-1,-4819
17:49:33.584],-8995,-4,-4827
17:49:33.595],-8996,-1,-4816
17:49:33.606],-8996,0,-4785
17:49:33.617],-8997,1,-4777
17:49:33.628],-8998,-2,-4784
17:49:33.639],-8999,-2,-4784
17:49:33.650],-8999,0,-4785
17:49:33.662],-9000,-3,-4787
17:49:33.672],-9000,-3,-4785
17:49:33.683],-9002,-4,-4778
17:49:33.694],-8999,-5,-4760
17:49:33.705],-8999,1,-4747
17:49:33.716],-9000,1,-4735
17:49:33.727],-9001,0,-4726
17:49:33.738],-9000,3,-4721
17:49:33.749],-9000,2,-4716
17:49:33.760],-9000,1,-4715
17:49:33.771],-9002,3,-4725
17:49:33.782],-9004,3,-4724
17:49:33.793],-9001,3,-4720
17:49:33.804],-9002,-2,-4718
17:49:33.815],-9003,-4,-4716
17:49:33.826],-9006,4,-4713
17:49:33.839],-9005,2,-4698
17:49:33.848],-9003,3,-4685
17:49:33.862],-9003,3,-4677
17:49:33.870],-9003,0,-4672
17:49:33.881],-9001,0,-4668
17:49:33.892],-9001,1,-4647
17:49:33.903],-9003,3,-4627
17:49:33.914],-9004,3,-4626
17:49:33.925],-9005,6,-4632
17:49:33.936],-9005,5,-4631
17:49:33.947],-9005,3,-4627
17:49:33.958],-9005,0,-4635
17:49:33.969],-9005,5,-4646
17:49:33.980],-9006,5,-4638
17:49:33.996],-9003,4,-4618
17:49:34.002],-9002,3,-4625
17:49:34.013],-9004,2,-4631
17:49:34.024],-9002,4,-4620
17:49:34.035],-9001,3,-4592
17:49:34.046],-9001,5,-4574
17:49:34.057],-9000,3,-4571
17:49:34.068],-9001,1,-4573
17:49:34.079],-9002,0,-4567
17:49:34.090],-9000,3,-4572
17:49:34.101],-8999,7,-4576
17:49:34.113],-9000,4,-4581
17:49:34.126],-9000,4,-4586
17:49:34.134],-9001,4,-4580
17:49:34.145],-9002,5,-4574
17:49:34.157],-9001,4,-4576
17:49:34.167],-8998,8,-4549
17:49:34.178],-9000,7,-4524
17:49:34.190],-9001,3,-4529
17:49:34.200],-8999,3,-4526
