I0,I1,I2
-0.003662,0.168213,1.015137
-0.109863,0.120117,0.924805
-0.050781,0.139648,0.940674
0.000488,0.123291,0.948486
-0.002197,0.081787,0.960205
-0.096436,0.126465,0.938232
-0.029297,0.154541,0.980225
-0.015137,0.130127,0.956787
-0.032959,0.130615,0.979492
-0.035400,0.085449,0.963623
-0.075439,0.088623,0.986572
-0.060303,0.131836,0.995605
-0.008301,0.120117,0.962402
-0.045654,0.068115,0.968018
-0.086914,0.124756,0.990967
0.042725,0.194580,1.046143
-0.025146,0.114502,1.002930
-0.106689,0.103271,1.009521
-0.047852,0.211914,1.029541
0.004639,0.151367,0.974121
-0.052246,0.082275,0.978516
-0.092529,0.184326,1.027588
0.009521,0.199707,0.992920
-0.071289,0.162842,0.977539
-0.106201,0.093994,0.968750
0.046387,0.167725,1.003418
0.013428,0.228271,1.000488
-0.177490,0.173096,1.019287
-0.073242,0.176025,1.017090
0.123047,0.237305,1.043457
-0.085205,0.144043,0.953613
-0.087646,0.070068,0.939453
-0.037598,0.251221,1.034424
-0.004395,0.166504,1.004150
-0.089355,0.149902,1.011475
-0.045410,0.162354,0.978516
-0.037842,0.200195,0.986084
0.012695,0.132568,0.956299
-0.062988,0.132324,0.992432
-0.024902,0.105713,0.958984
-0.049316,0.202148,1.011963
-0.055908,0.126709,0.955322
-0.063965,0.154785,0.986572
-0.027100,0.164307,1.023926
-0.035889,0.150635,1.012207
-0.072510,0.098877,0.944092
-0.052490,0.130859,0.973633
0.008057,0.144775,1.029541
-0.037842,0.166260,1.017090
-0.048828,0.172363,0.996094
-0.028564,0.136719,0.992188
-0.008301,0.137939,1.019043
-0.075195,0.140137,0.984619
-0.033691,0.159424,0.991211
-0.004883,0.167725,0.999023
-0.004395,0.160156,0.997314
-0.052490,0.172607,1.016357
-0.107178,0.138672,0.979248
0.010498,0.125732,0.980469
-0.013916,0.142578,0.961426
-0.076904,0.124756,0.976807
-0.076904,0.125977,0.990967
-0.002441,0.159180,1.019531
-0.067627,0.128174,0.985107
-0.085205,0.124512,1.009521
0.018066,0.142578,0.999756
-0.029785,0.141602,0.991699
-0.104736,0.125000,0.999512
-0.010986,0.147949,1.018311
-0.025391,0.130371,0.985107
