I0,I1,I2
0.022705,0.067871,0.983398
0.011963,0.082275,0.984619
-0.036865,0.068115,0.970459
-0.012695,0.035400,0.972168
-0.006104,0.046875,0.973877
-0.054688,0.050049,0.953857
-0.025146,0.072754,0.968262
0.000244,0.055908,0.948975
-0.055664,0.073486,0.969971
-0.042480,0.097168,0.989502
-0.001465,0.101563,0.993896
-0.030762,0.051025,0.940918
-0.050049,0.040527,0.941650
-0.042480,0.062012,0.972900
-0.011963,0.063232,0.974365
-0.043457,0.050537,0.950439
-0.090576,0.057861,0.976807
-0.029297,0.093018,1.011963
0.001465,0.086426,1.003174
-0.048340,0.058838,0.997803
-0.059814,0.009277,0.955322
-0.107910,0.043213,0.988037
-0.014404,0.068604,1.037109
0.003418,0.151855,1.082520
-0.091064,0.046631,0.959229
-0.077881,0.052490,1.029053
0.022705,0.094727,1.054688
-0.056152,0.153320,1.017822
-0.066650,0.075684,0.993896
-0.036377,0.061279,1.009033
-0.079346,0.119141,0.995361
-0.053467,0.125000,1.000244
-0.016357,0.096191,0.968750
-0.039795,0.180664,1.016113
-0.058594,0.134033,0.974609
-0.018066,0.058350,0.942383
-0.098389,0.087891,0.929688
-0.027344,0.155518,0.986328
-0.001465,0.141846,0.990234
-0.030029,0.100830,0.976563
-0.089844,0.107422,0.969238
-0.055664,0.069580,0.962158
0.003906,0.104980,1.004639
0.018555,0.146729,1.045166
-0.014404,0.085693,0.985107
-0.040771,0.079346,1.030273
-0.023682,0.108643,1.049316
-0.040039,0.096680,1.022217
-0.020996,0.062256,1.014404
-0.030029,0.114014,1.037109
0.006836,0.107178,1.037598
0.022949,0.062988,1.018555
-0.069092,0.056641,0.996094
-0.099854,0.099609,1.027588
-0.023193,0.112061,1.028564
-0.033691,0.151367,1.043213
-0.113525,0.079346,0.979980
-0.056396,0.128662,1.029297
0.004883,0.168701,1.022705
-0.072998,0.097412,0.981201
-0.099854,0.083252,0.980957
0.001709,0.122803,1.018799
0.025635,0.145264,1.015381
-0.103516,0.141357,0.996582
-0.019287,0.079346,0.955078
0.053223,0.095947,0.951172
-0.051758,0.134521,0.993164
-0.048828,0.119629,0.987549
-0.010254,0.109863,0.976563
-0.080078,0.077393,0.979004
-0.050781,0.077393,0.968994
-0.009277,0.097656,0.991455
-0.070068,0.088379,0.986572
-0.083984,0.085938,1.000000
-0.024902,0.055908,0.989746
-0.045898,0.091064,1.034180
-0.110352,0.098389,1.028320
-0.049072,0.041260,0.984863
-0.033203,0.052490,1.013184
