I0,I1,I2
-0.031494,0.218994,0.981201
-0.018066,0.132813,0.937012
-0.024658,0.140137,0.932129
-0.083984,0.208740,0.975342
-0.071045,0.168213,0.935059
0.074707,0.130615,0.970459
-0.027832,0.170410,0.954102
-0.112061,0.113525,0.924561
0.010254,0.149170,0.986328
0.031006,0.213623,1.040527
-0.074219,0.158203,1.001465
-0.101318,0.099609,0.984375
-0.039063,0.136963,0.996582
-0.038330,0.158936,1.035889
-0.036133,0.137695,1.020264
-0.119873,0.084717,0.992188
-0.098633,0.160400,1.023438
0.015869,0.165283,1.015137
-0.075195,0.128418,1.017578
-0.014893,0.092041,0.990479
-0.059570,0.203857,0.995850
-0.062744,0.112061,0.932373
-0.052979,0.127441,0.970703
-0.079102,0.223877,1.016846
-0.019531,0.183594,0.983643
-0.033203,0.222900,0.993408
-0.005127,0.208496,0.971191
-0.013916,0.223877,0.978516
-0.043457,0.228760,1.026855
-0.018799,0.173584,0.973389
-0.045166,0.246338,1.001709
-0.068848,0.174072,0.962646
-0.039551,0.200195,1.015137
-0.020264,0.200195,1.007324
-0.057617,0.223877,1.038330
-0.047363,0.190918,1.021973
-0.042480,0.204102,1.018799
-0.053467,0.159180,0.998047
-0.015869,0.113770,1.004395
-0.093018,0.157227,1.015625
-0.047363,0.127441,1.002930
-0.024170,0.133545,1.004639
-0.080322,0.102539,0.972900
-0.041504,0.124023,0.995605
-0.035645,0.095947,0.971191
-0.092773,0.127930,0.990479
-0.007813,0.132568,0.985840
-0.007813,0.156982,0.987793
-0.094727,0.115967,0.972168
-0.033447,0.177490,1.015869
0.068848,0.152344,0.978271
-0.117432,0.221191,0.995605
-0.046387,0.156250,0.987305
0.036865,0.205566,0.994141
-0.028809,0.183594,0.991211
-0.107178,0.188965,0.969727
0.038574,0.225098,1.005127
-0.032227,0.190918,0.987549
-0.088623,0.155273,0.994141
0.035889,0.213379,1.022949
-0.026367,0.215820,1.007324
-0.109863,0.121826,0.968262
-0.064453,0.114014,0.990723
-0.062256,0.138184,0.995850
-0.040283,0.195801,1.016357
-0.025146,0.113525,0.971680
-0.125488,0.063721,0.976807
-0.082275,0.077637,0.976074
0.000977,0.153564,1.017090
-0.053223,0.120605,0.984375
-0.070313,0.075684,0.959961
-0.075928,0.125977,0.970215
0.040771,0.028564,0.929443
-0.124023,0.103516,0.979492
-0.131836,0.103271,0.976807
-0.049561,0.159424,0.982910
0.016357,0.084229,0.962646
-0.073730,0.035400,0.939941
-0.032227,0.170166,1.007813
-0.031494,0.128906,0.951416
-0.058594,0.092041,0.961914
-0.040771,0.158203,1.015869
-0.008057,0.111328,0.934814
-0.080811,0.128418,0.970459
-0.057129,0.100586,0.974365
-0.023193,0.144287,0.955322
-0.029785,0.109131,0.970459
-0.159180,0.118408,0.973389
0.039551,0.138672,0.987793
-0.020020,0.198975,0.991455
-0.068359,0.060059,0.949951
-0.050537,0.153564,1.011475
0.014160,0.170166,1.004150
-0.108887,0.170898,1.028320
-0.008545,0.140137,1.028809
0.019043,0.096924,0.959229
-0.133301,0.081787,0.939209
-0.096436,0.091309,0.981445
0.051758,0.153809,1.031250
-0.056885,0.128418,0.997559
-0.145020,0.072754,0.953369
-0.036865,0.179199,1.010742
0.014404,0.158936,1.003906
-0.087891,0.086914,0.991211
-0.061279,0.145752,1.017578
0.015625,0.182861,0.954834
-0.103027,0.099121,0.952393
-0.100586,0.053711,0.962891
0.066650,0.176270,0.990723
-0.050537,0.180908,0.986328
-0.120361,0.093262,0.939697
-0.060059,0.204102,1.038086
0.083008,0.177979,1.004639
-0.100586,0.158203,0.991943
-0.104248,0.132568,0.951172
-0.010498,0.202881,0.977783
-0.011963,0.112793,0.976074
-0.088623,0.094238,0.985596
-0.034180,0.151367,0.960693
-0.013184,0.143555,0.931885
-0.112305,0.144287,0.988281
-0.012451,0.104980,0.991699
0.060059,0.137451,0.992920
-0.119629,0.108154,0.954102
-0.096680,0.086670,0.961182
0.031006,0.112061,0.947266
-0.039795,0.093262,0.975586
-0.062500,0.050293,0.993408
-0.023682,0.166260,0.985840
-0.010254,0.190674,0.988525
-0.050781,0.121338,1.011230
-0.057861,0.154785,1.043945
0.003174,0.155273,0.984375
-0.051758,0.161621,0.992676
-0.058350,0.167236,1.017334
-0.048584,0.151611,0.959717
-0.013184,0.142822,0.977783
-0.064209,0.129639,0.980469
0.010254,0.201172,1.002441
-0.059570,0.205078,0.964355
-0.060059,0.134766,0.968994
0.020264,0.153809,1.009277
0.005859,0.216797,1.012207
-0.099365,0.152588,0.941895
-0.104980,0.097656,0.927490
0.003906,0.141602,0.991943
0.019043,0.250977,1.063965
-0.038574,0.145996,0.958984
-0.052734,0.181396,0.989746
