I0,I1,I2
-0.040039,0.072266,0.993896
0.031982,0.049316,1.013672
0.013184,0.091797,1.020264
-0.071289,0.072998,0.959229
0.024658,0.051270,0.988770
0.033447,0.077881,1.005615
-0.035400,0.137939,1.009766
-0.033691,0.036621,0.948486
-0.020752,0.029297,0.946533
-0.036377,0.110840,0.997559
-0.018066,0.093506,0.974854
-0.028564,0.059570,0.949463
-0.033203,0.082520,0.992188
-0.004883,0.036865,0.950928
0.010742,0.104248,0.984863
0.016602,0.100098,0.986084
-0.010986,0.058350,0.984131
-0.031982,0.026855,0.970703
-0.003174,0.026855,0.942871
-0.042969,0.080322,0.988037
-0.043945,-0.027100,0.943604
-0.040039,0.010986,0.964600
-0.032471,0.028076,0.955566
-0.072021,0.047607,0.974121
0.056641,0.067383,1.036133
-0.021240,0.046143,0.987305
-0.096191,0.021973,0.976807
0.023193,0.036621,1.009033
-0.014648,-0.014160,0.931396
-0.103760,0.039307,0.993652
-0.050049,0.033447,0.997314
0.024658,0.103271,1.018066
-0.065430,0.043457,0.965332
-0.021973,0.031738,0.997314
-0.007324,0.050293,0.969482
-0.079590,0.061768,0.978271
-0.030762,0.052979,0.996094
-0.044922,0.046875,0.969482
-0.041504,0.120605,0.991699
-0.009521,0.079834,1.004883
-0.064941,0.056885,0.970459
0.014404,0.050781,0.947510
-0.049561,0.131592,1.002441
-0.003174,0.091553,1.014404
-0.054199,0.128906,0.990723
0.058105,0.058838,0.966797
-0.055664,0.152100,1.031250
-0.050049,0.116943,0.979736
0.034668,0.132324,1.027100
0.012451,0.084961,0.992432
-0.108643,0.073730,0.979980
-0.018555,0.090576,0.979736
0.027100,0.107666,1.010742
-0.031982,0.114746,1.036377
-0.056396,0.117432,1.030273
0.011230,0.088379,1.010010
-0.006348,0.113281,1.012207
-0.010010,0.056396,1.007813
-0.055420,0.060303,1.005615
-0.032227,0.113770,1.027344
-0.017822,0.083740,0.975830
0.020996,0.081543,1.028076
-0.114258,0.111816,1.042969
-0.036621,0.083008,0.993408
0.026855,0.136719,0.997314
-0.041748,0.080322,1.001953
-0.096924,0.127686,1.046387
0.062256,0.158447,1.028564
-0.037354,0.196289,1.030762
-0.079346,0.082031,1.017334
-0.022705,0.091553,1.010986
0.066650,0.127197,0.980225
-0.076904,0.166992,1.008057
-0.008789,0.060059,0.992188
0.035889,0.106445,1.008057
0.006348,0.143066,1.006104
-0.040283,0.055420,0.916504
0.031494,0.084473,1.002441
-0.037842,0.091064,0.982422
-0.029297,0.091553,0.987549
0.011963,0.094482,0.975342
-0.054199,0.098633,0.989502
-0.050293,0.041748,0.962158
0.017334,0.122314,1.039307
-0.002930,0.072510,0.979004
-0.065918,0.094238,1.003418
0.048340,0.070801,1.036621
-0.061523,0.056641,0.997314
-0.000977,0.091064,1.045898
-0.015625,0.143066,1.053223
0.010986,0.071777,1.018066
-0.010742,0.076416,1.016602
-0.003418,0.077881,1.014404
-0.062500,0.103516,1.013184
0.005859,0.065430,0.988770
-0.002686,0.083496,0.985352
-0.028809,0.102295,1.003662
-0.045898,0.122559,0.987549
-0.007568,0.046387,0.955811
-0.096680,0.099609,0.972656
0.028320,0.121338,1.012207
0.020020,0.121582,0.976074
-0.050049,0.046875,0.961182
-0.065674,0.051758,0.976807
0.025879,0.113770,0.980713
-0.003418,0.110107,0.977783
-0.014893,0.047363,0.997070
-0.018555,0.130127,1.030518
0.024170,0.128906,0.987305
-0.041016,0.102295,1.024414
-0.043457,0.050293,1.023193
0.010254,0.115723,0.985840
0.000977,0.122803,0.998047
-0.105469,0.069336,1.026855
-0.034668,0.080078,1.046143
0.059814,0.108398,0.995361
-0.028564,0.080566,0.986572
-0.085449,0.018311,0.992188
0.019043,0.084229,1.052490
0.056641,0.096436,1.005371
-0.062988,-0.010010,0.919434
-0.040771,-0.014648,0.964111
0.065674,0.067383,1.012939
-0.001221,0.051758,0.960205
-0.052246,0.069824,1.003662
0.018799,0.059814,0.993164
-0.021240,0.085938,0.985596
-0.090820,-0.029297,0.904053
-0.042236,0.024902,0.971680
0.045166,0.130127,0.998535
-0.015137,0.129395,0.997803
-0.094238,0.030273,0.955322
0.030762,-0.018555,0.939941
-0.013672,0.117676,0.999268
-0.052490,0.060303,0.956299
0.029541,0.027588,0.973633
0.005371,0.041992,0.996338
-0.068115,0.051758,0.962891
-0.027344,0.056641,0.975342
-0.047119,0.096436,1.036133
0.025635,0.047607,0.994141
-0.016846,0.075195,0.979980
-0.065918,0.027588,0.944336
-0.002197,0.018799,0.993164
-0.010254,0.128174,1.038086
-0.059326,0.082275,0.982422
-0.022949,0.037598,0.973633
0.029053,0.056885,0.995117
-0.028320,0.111084,1.005859
-0.039063,0.087158,1.034912
0.023438,0.056641,0.995361
-0.011475,0.072021,0.974609
-0.083984,0.005859,0.946533
-0.044922,-0.002930,0.972656
-0.016602,0.091553,0.987305
0.050293,0.119141,1.020996
-0.008789,0.080078,1.033936
-0.042480,0.082275,0.994385
0.010986,0.076172,0.960205
-0.060303,0.038330,0.988770
-0.090332,-0.037842,0.955078
-0.050781,0.085205,0.909668
-0.039307,0.140625,1.000977
-0.029785,-0.006104,0.982178
-0.010010,0.092529,0.998535
0.000244,0.137451,0.935303
-0.050781,0.063477,0.994385
-0.043945,0.105713,1.057129
0.039063,0.140625,1.010986
-0.063477,0.038574,0.910645
-0.096680,0.021729,0.948242
0.012451,0.127441,1.047119
0.085693,0.084717,0.996338
-0.070801,0.130371,1.015869
-0.019775,0.116211,1.003174
0.046143,0.100830,1.029785
0.010254,0.083496,1.014404
-0.082275,0.085205,0.973145
0.011963,0.113770,0.989990
0.006592,0.148438,1.051025
-0.025635,0.096680,1.038818
-0.047852,0.117432,1.019775
-0.040039,0.063232,0.960693
0.024658,0.093750,1.010742
-0.032227,0.128662,1.019287
-0.071777,0.076416,0.974609
-0.026855,0.059570,0.973145
-0.038818,0.096436,0.993164
-0.026367,0.125977,1.023438
