I0,I1,I2
-0.025635,-0.023438,0.978516
0.100342,0.056641,1.002441
-0.095215,0.091797,0.966309
-0.005615,0.035889,1.010986
0.037354,0.024658,0.998779
-0.013184,0.008301,0.991699
0.046631,0.046143,0.944336
0.011230,-0.047119,0.962402
-0.006104,0.023193,1.006836
0.001221,0.068115,1.003906
-0.043701,0.053223,0.975586
-0.056641,0.041992,0.991699
-0.050293,0.091064,1.007324
-0.014404,0.094482,1.031494
-0.008301,0.114746,1.039307
-0.030518,0.086182,1.006104
-0.027832,0.061523,0.968018
0.024658,0.090088,1.019531
0.000977,0.046143,0.991943
-0.046387,0.130127,1.022949
0.051758,0.176514,1.062988
0.047363,0.123291,1.013916
-0.059082,0.126709,1.034668
-0.023926,0.098389,1.024170
-0.004150,0.108643,1.010010
-0.029297,0.074951,0.958496
-0.029053,0.163818,1.028809
0.010010,0.118164,1.007813
-0.048096,0.103271,1.009766
-0.007080,0.130371,1.023193
-0.023193,0.166748,1.010498
-0.037109,0.128906,1.021973
-0.033203,0.114258,1.030762
0.019775,0.109131,1.022705
-0.103027,0.097168,0.964600
-0.034668,0.063477,0.993408
0.027832,0.134277,1.067139
0.045898,0.102295,1.009766
-0.054199,0.117188,1.015137
-0.063232,0.076172,1.016357
0.026123,0.061035,1.010498
-0.001953,0.043945,0.965820
-0.132324,0.058105,0.974854
-0.005615,0.059570,1.003906
0.068359,0.133301,1.062988
-0.093750,0.058594,0.980713
-0.075439,0.094482,1.017334
0.078857,0.112793,1.011230
-0.088623,0.146973,1.057617
-0.053955,0.054443,1.013916
0.010254,0.094971,0.996094
-0.038086,0.084961,0.973389
-0.062256,0.041992,0.980469
-0.037598,0.013184,0.967285
-0.005615,0.093750,0.965088
0.074951,0.091797,1.013184
-0.029785,0.080811,0.986328
-0.043945,0.016602,0.970703
0.009766,0.078857,0.990967
-0.049561,0.098145,0.999268
-0.008057,0.100830,1.020752
-0.049072,0.058350,1.003418
0.002197,0.100098,0.982910
-0.027344,0.097168,0.970703
-0.061035,0.050049,0.979248
-0.018066,0.056152,0.977295
-0.089844,0.042725,0.986572
-0.030273,0.032959,0.990479
-0.023438,0.041260,0.940918
-0.104492,0.082031,0.998535
-0.021973,0.010742,1.004639
-0.016846,0.044189,1.004395
-0.055420,0.083252,0.993164
-0.013428,0.051758,1.010254
0.010986,-0.048096,0.941650
-0.069824,0.089111,1.028320
-0.021484,0.056152,1.003174
-0.014404,0.037842,0.983887
-0.082031,0.001709,0.951904
-0.088867,0.014893,0.989502
0.037109,0.081543,1.022461
-0.015381,0.124023,0.994629
-0.099609,-0.020020,0.933594
-0.060791,-0.032715,0.969482
0.018555,0.136475,1.021484
-0.031250,0.099121,0.957275
-0.033936,-0.013916,0.979004
-0.001709,0.048828,1.015381
0.006836,0.155518,1.014893
-0.031738,0.072021,0.972900
-0.044922,0.007568,0.974365
-0.060791,0.019043,0.945801
0.012451,0.112793,1.020752
-0.044189,0.086670,0.944824
-0.094482,0.030518,0.960449
-0.041504,0.054199,1.004150
0.055908,0.105469,1.004883
-0.055664,0.120361,0.972900
-0.035889,0.047607,0.957764
