I0,I1,I2
-0.022461,0.066162,0.977539
-0.022949,0.064941,0.946045
-0.016113,0.175781,0.997070
-0.091309,0.033691,0.917725
-0.101807,0.012451,0.952393
-0.025879,0.112061,1.028809
-0.001465,0.095703,0.973389
-0.033691,0.185791,1.011475
-0.030029,0.183105,1.050537
0.000488,0.111328,1.049072
-0.025146,0.114014,1.006592
0.021240,0.173340,1.009277
-0.030762,0.120850,0.979248
-0.085449,0.073730,0.995361
-0.060059,0.150391,1.059326
0.041504,0.093018,0.972168
-0.031006,0.170898,0.994385
-0.035400,0.148682,1.020996
-0.032959,0.065430,0.974121
-0.106445,0.108643,0.989746
0.007324,0.127441,1.041748
0.035889,0.190186,1.040283
-0.020508,0.157959,0.964844
-0.034424,0.050781,0.970215
0.032959,0.066406,1.008789
-0.006836,0.152832,1.000488
-0.066650,0.120605,0.989990
-0.027100,0.093262,1.000732
0.013916,0.059570,1.026367
0.023193,0.162109,1.024902
-0.016113,0.146729,0.979980
-0.078125,0.013916,0.938477
-0.043945,0.014893,0.997070
-0.050537,0.045654,0.980469
0.016113,0.201660,1.043213
0.042725,0.135986,0.948486
-0.056885,0.063477,0.957764
-0.103516,0.044922,1.021484
-0.058105,0.007813,0.965576
-0.033936,0.160400,1.027588
0.028076,0.170166,1.015869
-0.002930,0.112061,0.957520
-0.115479,0.102051,0.978271
-0.038818,0.047363,1.012451
-0.020508,0.120117,1.023438
-0.030762,0.175293,0.999756
-0.019287,0.155029,1.007324
-0.037354,0.041504,0.950195
-0.128174,-0.002930,0.922607
-0.104980,0.034668,0.970947
0.032471,0.072510,0.990967
-0.013916,0.176025,1.001953
-0.075195,0.107910,0.959473
-0.074951,0.031494,1.000488
-0.027588,-0.008789,0.966309
-0.060791,0.093750,0.979248
-0.024170,0.101807,0.983154
-0.063232,0.067871,0.982422
-0.054688,0.061523,0.994141
-0.017822,0.016602,0.964600
-0.004639,0.062500,0.977783
-0.050781,0.089355,0.991211
-0.015869,0.051514,0.993164
-0.033936,0.006348,0.955566
-0.020264,0.083008,1.008301
-0.044922,0.058350,0.980957
-0.050781,0.036133,0.986816
0.007568,0.049316,0.991699
-0.053955,0.067383,0.956543
-0.087646,0.094482,1.007080
0.018799,0.003662,0.967041
-0.037354,0.066895,0.957764
-0.031494,0.124268,0.993652
0.014893,0.087891,0.987793
-0.049316,0.098877,0.998535
-0.101318,0.076172,0.990234
-0.037598,0.025391,0.944824
-0.050537,0.035400,0.932861
-0.068848,0.090332,0.971680
-0.075684,0.051270,0.973389
-0.057617,0.033936,0.982910
-0.014160,0.095703,0.989746
-0.083740,0.136963,0.988770
-0.042969,0.080322,1.005859
-0.045166,-0.011475,0.945801
-0.090820,0.037354,0.975586
-0.113770,0.099609,1.002930
-0.047852,0.047363,0.986816
0.005127,0.083496,1.004395
-0.048096,0.125488,1.005859
-0.052246,0.059814,0.995361
-0.085449,0.059814,1.002441
-0.031982,0.037354,0.967041
-0.042969,0.123779,0.995850
-0.064453,0.135498,0.986328
-0.043945,0.078125,0.975098
-0.113770,0.046143,0.953369
-0.066895,0.052246,0.986328
-0.018799,0.153076,1.038818
-0.009277,0.151123,1.001953
-0.021973,0.143555,0.995605
-0.015869,0.119873,0.997070
-0.038574,0.097168,0.978516
-0.032715,0.064453,0.955811
-0.065918,0.125488,1.012207
-0.091064,0.129395,1.011963
-0.010498,0.112305,0.995361
0.000488,0.068604,0.937500
-0.094238,0.159912,1.010010
-0.042480,0.045166,0.979980
0.020996,0.120850,1.049316
-0.003662,0.168457,1.020996
-0.072998,0.146484,0.984619
-0.032715,0.037598,0.972412
-0.044922,0.043701,0.974854
-0.095703,0.096680,0.966309
-0.037842,0.105957,0.999268
0.035889,0.095459,1.011719
-0.064209,0.147461,0.992432
-0.024170,0.152344,1.025635
0.015381,0.140869,1.030762
-0.070068,0.162354,1.016602
-0.072754,0.140869,1.018066
0.024658,0.109863,1.006348
-0.006348,0.170166,0.988281
-0.069092,0.184814,0.996826
-0.061768,0.105469,0.992920
-0.062012,0.113525,1.021729
-0.068115,0.162842,1.007568
-0.003662,0.135986,1.016113
-0.018799,0.195557,0.998779
-0.057617,0.115479,0.951416
-0.078125,0.103516,1.002930
-0.023926,0.159668,1.051758
-0.032227,0.186523,1.018799
-0.056885,0.127930,0.962891
-0.056885,0.106445,1.014893
-0.027832,0.146240,1.062744
-0.022949,0.193359,1.065186
-0.038086,0.164551,1.019287
-0.014404,0.157471,1.028076
0.002930,0.155762,1.052734
-0.052734,0.173828,1.045654
-0.043213,0.120117,1.010986
0.020508,0.152832,1.053223
-0.027832,0.146484,1.004883
-0.062256,0.115723,0.971436
-0.027588,0.112061,1.002930
-0.022461,0.125732,1.003418
-0.011719,0.109619,0.975830
-0.086426,0.107422,0.967773
-0.052979,0.067139,0.957764
-0.010010,0.126221,0.993896
-0.060059,0.102783,0.951416
-0.086426,0.072998,0.955566
-0.049561,0.071777,0.973877
-0.055908,0.102051,0.983643
-0.096924,0.117676,0.981201
-0.048584,0.079346,0.985840
-0.055908,0.093018,0.998779
-0.044434,0.111084,1.005127
-0.060547,0.184570,1.052979
-0.018311,0.183105,1.071533
0.002686,0.198486,1.071777
0.002441,0.171143,1.027344
