11:51:18.879],13,6,-265
11:51:18.889],13,7,-265
11:51:18.900],11,8,-265
11:51:18.911],9,8,-265
11:51:18.922],6,9,-265
11:51:18.933],3,11,-265
11:51:18.944],0,13,-264
11:51:18.955],0,13,-264
11:51:18.966],-4,15,-264
11:51:18.977],-7,17,-264
11:51:18.988],-9,19,-264
11:51:18.999],-10,22,-264
11:51:19.010],-11,25,-264
11:51:19.021],-11,27,-264
11:51:19.032],-12,29,-264
11:51:19.043],-13,31,-264
11:51:19.054],-14,33,-263
11:51:19.065],-15,34,-263
11:51:19.076],-17,35,-262
11:51:19.087],-17,35,-262
11:51:19.104],-19,34,-262
11:51:19.109],-21,34,-262
11:51:19.120],-22,33,-262
11:51:19.131],-22,33,-262
11:51:19.142],-21,32,-261
11:51:19.153],-19,32,-261
11:51:19.164],-17,31,-260
11:51:19.175],-15,30,-260
11:51:19.186],-12,29,-260
11:51:19.197],-9,29,-259
11:51:19.208],-5,28,-259
11:51:19.219],-5,28,-259
11:51:19.230],-2,27,-259
11:51:19.241],1,25,-259
11:51:19.252],4,24,-258
11:51:19.263],7,23,-258
11:51:19.274],8,21,-258
11:51:19.285],9,20,-258
11:51:19.296],9,19,-258
11:51:19.307],8,17,-257
11:51:19.318],7,16,-257
11:51:19.329],6,14,-257
11:51:19.340],5,12,-257
11:51:19.351],5,12,-257
11:51:19.362],4,9,-257
11:51:19.373],2,7,-256
11:51:19.384],0,5,-256
11:51:19.395],-1,4,-256
11:51:19.406],-3,3,-256
11:51:19.417],-4,2,-256
11:51:19.431],-3,3,-256
11:51:19.439],-2,4,-255
11:51:19.450],-1,5,-254
11:51:19.461],0,7,-254
11:51:19.472],1,9,-254
11:51:19.483],1,9,-254
11:51:19.494],2,11,-254
11:51:19.505],4,12,-254
11:51:19.516],6,13,-254
11:51:19.527],9,14,-253
11:51:19.538],12,14,-253
11:51:19.549],14,14,-253
11:51:19.560],17,13,-253
11:51:19.571],20,12,-253
11:51:19.582],22,11,-253
11:51:19.593],24,10,-253
11:51:19.604],24,9,-254
11:51:19.615],24,9,-254
11:51:19.626],24,7,-255
11:51:19.637],23,6,-255
11:51:19.648],21,5,-255
11:51:19.659],18,4,-255
11:51:19.670],15,3,-255
11:51:19.681],11,2,-255
11:51:19.692],8,0,-256
11:51:19.703],5,0,-256
11:51:19.714],2,-2,-256
11:51:19.725],0,-3,-256
11:51:19.736],0,-5,-256
11:51:19.747],0,-5,-256
11:51:19.764],-2,-6,-256
11:51:19.769],-2,-7,-257
11:51:19.780],-1,-7,-256
11:51:19.791],0,-7,-256
11:51:19.802],3,-6,-256
11:51:19.813],5,-5,-255
11:51:19.825],7,-3,-255
11:51:19.835],8,0,-255
11:51:19.846],10,2,-255
11:51:19.857],10,7,-256
11:51:19.868],11,12,-256
11:51:19.879],11,12,-256
11:51:19.891],11,16,-256
11:51:19.901],12,21,-255
11:51:19.912],13,24,-255
11:51:19.923],13,27,-255
11:51:19.934],14,29,-254
11:51:19.945],15,30,-254
11:51:19.956],16,31,-254
11:51:19.967],16,31,-253
11:51:19.978],15,31,-253
11:51:19.989],14,30,-253
11:51:20.000],12,29,-253
11:51:20.011],12,29,-253
11:51:20.022],9,28,-253
11:51:20.033],7,26,-252
11:51:20.044],6,24,-252
11:51:20.055],6,22,-252
11:51:20.066],9,20,-252
11:51:20.077],12,16,-252
11:51:20.088],16,11,-252
11:51:20.100],19,5,-252
11:51:20.110],22,0,-252
11:51:20.121],24,-7,-252
11:51:20.132],25,-13,-251
11:51:20.143],25,-13,-251
11:51:20.154],25,-18,-251
11:51:20.165],24,-22,-251
11:51:20.176],23,-25,-250
11:51:20.187],22,-26,-250
11:51:20.198],20,-26,-250
11:51:20.209],19,-25,-250
11:51:20.220],16,-23,-250
11:51:20.231],14,-20,-250
11:51:20.242],11,-17,-250
11:51:20.253],9,-13,-250
11:51:20.264],6,-9,-250
11:51:20.275],6,-9,-250
11:51:20.286],5,-6,-250
11:51:20.297],3,-3,-250
11:51:20.308],3,0,-250
11:51:20.319],3,4,-250
11:51:20.330],3,7,-249
11:51:20.341],4,10,-249
11:51:20.352],5,14,-249
11:51:20.363],5,16,-249
11:51:20.374],4,17,-250
11:51:20.385],3,18,-250
11:51:20.396],1,17,-250
11:51:20.407],1,17,-250
11:51:20.418],0,17,-249
11:51:20.437],-2,16,-249
11:51:20.440],-4,14,-249
11:51:20.451],-6,12,-249
11:51:20.462],-7,11,-250
11:51:20.473],-9,10,-250
11:51:20.484],-10,9,-250
11:51:20.495],-11,9,-250
11:51:20.506],-11,9,-250
11:51:20.517],-12,10,-250
11:51:20.528],-12,10,-250
11:51:20.539],-12,10,-250
11:51:20.550],-11,10,-250
11:51:20.561],-10,10,-250
11:51:20.572],-9,8,-250
11:51:20.583],-8,7,-250
11:51:20.594],-7,5,-250
11:51:20.605],-6,3,-250
11:51:20.616],-5,1,-250
11:51:20.627],-5,0,-250
11:51:20.638],-4,0,-250
11:51:20.649],-4,0,-250
11:51:20.660],-3,0,-250
11:51:20.671],-3,0,-250
11:51:20.682],-2,0,-250
11:51:20.693],-1,0,-250
11:51:20.704],0,1,-250
11:51:20.715],1,2,-250
11:51:20.726],2,4,-250
11:51:20.737],3,6,-250
11:51:20.748],4,8,-250
11:51:20.764],5,11,-250
11:51:20.770],6,13,-250
11:51:20.781],7,14,-250
11:51:20.792],8,15,-250
11:51:20.803],8,15,-250
11:51:20.814],8,16,-250
11:51:20.825],9,17,-250
11:51:20.836],10,18,-250
11:51:20.847],11,18,-249
11:51:20.858],11,19,-249
11:51:20.869],11,19,-249
11:51:20.880],11,19,-249
11:51:20.891],11,19,-249
11:51:20.902],10,19,-249
11:51:20.913],11,18,-248
11:51:20.924],13,18,-248
11:51:20.935],13,18,-248
11:51:20.946],14,17,-248
