10:15:58.467],-8997,-1,16561
10:15:58.480],-8996,0,16540
10:15:58.489],-9000,-1,16540
10:15:58.500],-9002,-4,16532
10:15:58.511],-8998,0,16537
10:15:58.522],-8999,8,16548
10:15:58.533],-8997,5,16541
10:15:58.544],-8997,5,16543
10:15:58.555],-9001,0,16523
10:15:58.566],-9000,2,16507
10:15:58.577],-9003,3,16510
10:15:58.588],-8998,6,16506
10:15:58.599],-8998,11,16522
10:15:58.610],-8997,10,16518
10:15:58.621],-8995,8,16502
10:15:58.632],-9001,6,16500
10:15:58.643],-9000,0,16474
10:15:58.654],-8999,2,16485
10:15:58.665],-8999,4,16497
10:15:58.676],-8998,6,16501
10:15:58.687],-8997,5,16499
10:15:58.698],-8998,4,16484
10:15:58.709],-8999,0,16466
10:15:58.720],-9001,-2,16465
10:15:58.731],-9001,0,16472
10:15:58.742],-8997,6,16482
10:15:58.757],-8999,7,16490
10:15:58.764],-8996,2,16467
10:15:58.775],-8999,1,16458
10:15:58.786],-9002,0,16444
10:15:58.797],-9001,1,16440
10:15:58.808],-9004,3,16457
10:15:58.819],-9001,3,16452
10:15:58.830],-8999,6,16460
10:15:58.841],-9001,5,16457
10:15:58.852],-9002,0,16433
10:15:58.863],-9004,-3,16422
10:15:58.874],-9005,-2,16428
10:15:58.886],-8999,2,16433
10:15:58.896],-8997,5,16443
10:15:58.907],-8998,0,16437
10:15:58.919],-8998,-4,16420
10:15:58.929],-8999,-4,16414
10:15:58.940],-9002,-10,16415
10:15:58.951],-8998,-7,16423
10:15:58.962],-8996,-1,16433
10:15:58.973],-8995,-4,16432
10:15:58.984],-8996,-8,16425
10:15:58.995],-9000,-9,16418
10:15:59.006],-9000,-8,16408
10:15:59.017],-8997,-8,16410
10:15:59.028],-8995,-8,16419
10:15:59.039],-8993,-1,16431
10:15:59.050],-8996,0,16431
10:15:59.061],-8995,-3,16416
10:15:59.072],-8996,-7,16405
10:15:59.083],-8998,-9,16394
10:15:59.094],-8997,-5,16410
10:15:59.105],-8995,0,16423
10:15:59.116],-8995,0,16426
10:15:59.127],-8996,-1,16427
10:15:59.138],-8997,-3,16407
10:15:59.149],-8997,-6,16394
10:15:59.160],-9000,-8,16398
10:15:59.171],-8999,-9,16396
10:15:59.182],-8995,-2,16408
10:15:59.193],-8994,-1,16411
10:15:59.204],-8993,-6,16405
10:15:59.215],-8995,-7,16400
10:15:59.226],-8998,-8,16388
10:15:59.237],-8995,-9,16384
10:15:59.248],-8998,-10,16397
10:15:59.259],-8994,-9,16397
10:15:59.270],-8992,-6,16412
10:15:59.281],-8994,-6,16413
10:15:59.292],-8994,-8,16399
10:15:59.303],-8996,-14,16390
10:15:59.314],-9000,-17,16391
10:15:59.325],-8996,-14,16385
